Date,AveragePriceCanada,AggregateCompositeCanada
2005-01-01,229346,241000
2005-02-01,238276,241800
2005-03-01,243861,242600
2005-04-01,247920,243300
2005-05-01,250771,243800
2005-06-01,252254,245300
2005-07-01,250278,247400
2005-08-01,245982,249700
2005-09-01,253327,252200
2005-10-01,255971,255100
2005-11-01,256277,257900
2005-12-01,257024,260500
2006-01-01,256033,263700
2006-02-01,266593,266400
2006-03-01,272825,269300
2006-04-01,278948,272600
2006-05-01,282714,275900
2006-06-01,283069,278800
2006-07-01,276424,281600
2006-08-01,274489,284500
2006-09-01,276422,287400
2006-10-01,282207,288800
2006-11-01,280862,290800
2006-12-01,279181,293200
2007-01-01,281914,295600
2007-02-01,294207,299000
2007-03-01,298814,301700
2007-04-01,304985,304500
2007-05-01,312754,307700
2007-06-01,315137,310700
2007-07-01,311404,313300
2007-08-01,305417,315300
2007-09-01,307475,317400
2007-10-01,312112,319300
2007-11-01,313535,321100
2007-12-01,316790,323200
2008-01-01,310107,324800
2008-02-01,312815,325200
2008-03-01,314579,325300
2008-04-01,318342,324100
2008-05-01,318625,322300
2008-06-01,314425,320600
2008-07-01,303423,318300
2008-08-01,292192,316300
2008-09-01,292593,314500
2008-10-01,282215,310400
2008-11-01,283500,307100
2008-12-01,284400,303300
2009-01-01,275586,300100
2009-02-01,284807,297400
2009-03-01,290313,295300
2009-04-01,307157,296800
2009-05-01,320361,299200
2009-06-01,326985,302900
2009-07-01,327456,307300
2009-08-01,324543,311700
2009-09-01,331726,316400
2009-10-01,340824,321100
2009-11-01,337029,325300
2009-12-01,336599,328700
2010-01-01,328947,331400
2010-02-01,336425,333500
2010-03-01,341153,335000
2010-04-01,344967,335600
2010-05-01,347458,335300
2010-06-01,342057,334100
2010-07-01,330385,333200
2010-08-01,325008,332900
2010-09-01,330935,333100
2010-10-01,343714,334200
2010-11-01,344124,335900
2010-12-01,345544,337700
2011-01-01,344004,340100
2011-02-01,365627,343000
2011-03-01,371348,345400
2011-04-01,371809,347700
2011-05-01,376603,350300
2011-06-01,370940,353100
2011-07-01,359597,355600
2011-08-01,349113,357900
2011-09-01,351545,359700
2011-10-01,361552,361400
2011-11-01,358677,363300
2011-12-01,346873,365000
2012-01-01,348404,366800
2012-02-01,372305,368100
2012-03-01,370117,369600
2012-04-01,375947,371000
2012-05-01,374912,371000
2012-06-01,369594,370600
2012-07-01,353525,370300
2012-08-01,350387,369600
2012-09-01,355203,369600
2012-10-01,361292,369400
2012-11-01,356568,369000
2012-12-01,352695,370300
2013-01-01,355501,370200
2013-02-01,368776,370900
2013-03-01,378954,371500
2013-04-01,380539,372300
2013-05-01,388966,373300
2013-06-01,387292,374500
2013-07-01,382506,376200
2013-08-01,378682,378300
2013-09-01,385224,380400
2013-10-01,392555,382800
2013-11-01,392516,385000
2013-12-01,390305,386800
2014-01-01,388160,388700
2014-02-01,406393,389900
2014-03-01,401765,390500
2014-04-01,409913,391500
2014-05-01,417196,392700
2014-06-01,413276,394500
2014-07-01,400388,396300
2014-08-01,398709,398500
2014-09-01,408732,401000
